,title
0,(500) Days of Summer (2009)
1,10 Things I Hate About You (1999)
2,101 Dalmatians (1996)
3,101 Dalmatians (One Hundred and One Dalmatians) (1961)
4,12 Angry Men (1957)
5,13 Going on 30 (2004)
6,"13th Warrior, The (1999)"
7,1408 (2007)
8,2001: A Space Odyssey (1968)
9,2012 (2009)
10,21 Grams (2003)
11,21 Jump Street (2012)
12,25th Hour (2002)
13,28 Days (2000)
14,28 Days Later (2002)
15,28 Weeks Later (2007)
16,300 (2007)
17,3:10 to Yuma (2007)
18,"40-Year-Old Virgin, The (2005)"
19,50 First Dates (2004)
20,8 Mile (2002)
21,A.I. Artificial Intelligence (2001)
22,About Schmidt (2002)
23,About a Boy (2002)
24,"Abyss, The (1989)"
25,Ace Ventura: Pet Detective (1994)
26,Ace Ventura: When Nature Calls (1995)
27,Adaptation (2002)
28,Addams Family Values (1993)
29,"Addams Family, The (1991)"
30,"Adjustment Bureau, The (2011)"
31,"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)"
32,"Adventures of Priscilla, Queen of the Desert, The (1994)"
33,Aeon Flux (2005)
34,"African Queen, The (1951)"
35,Air Force One (1997)
36,Airheads (1994)
37,Airplane! (1980)
38,Akira (1988)
39,Aladdin (1992)
40,Alice in Wonderland (1951)
41,Alice in Wonderland (2010)
42,Alien (1979)
43,Alien: Resurrection (1997)
44,Aliens (1986)
45,Alien³ (a.k.a. Alien 3) (1992)
46,All About Eve (1950)
47,All the President's Men (1976)
48,Almost Famous (2000)
49,Along Came Polly (2004)
50,Amadeus (1984)
51,"Amazing Spider-Man, The (2012)"
52,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
53,American Beauty (1999)
54,American Gangster (2007)
55,American Graffiti (1973)
56,American History X (1998)
57,American Pie (1999)
58,American Pie 2 (2001)
59,"American President, The (1995)"
60,American Psycho (2000)
61,"American Werewolf in London, An (1981)"
62,Amores Perros (Love's a Bitch) (2000)
63,Anaconda (1997)
64,Analyze This (1999)
65,Anchorman: The Legend of Ron Burgundy (2004)
66,And Your Mother Too (Y tu mamá también) (2001)
67,Angels in the Outfield (1994)
68,Anger Management (2003)
69,Animal House (1978)
70,Annie Hall (1977)
71,Ant-Man (2015)
72,Antz (1998)
73,"Apartment, The (1960)"
74,Apocalypse Now (1979)
75,Apollo 13 (1995)
76,Arachnophobia (1990)
77,Argo (2012)
78,"Aristocats, The (1970)"
79,Arlington Road (1999)
80,Armageddon (1998)
81,Army of Darkness (1993)
82,Arrival (2016)
83,"Arrival, The (1996)"
84,Arsenic and Old Lace (1944)
85,As Good as It Gets (1997)
86,Austin Powers in Goldmember (2002)
87,Austin Powers: International Man of Mystery (1997)
88,Austin Powers: The Spy Who Shagged Me (1999)
89,Avatar (2009)
90,"Avengers, The (2012)"
91,Avengers: Age of Ultron (2015)
92,"Aviator, The (2004)"
93,Awakenings (1990)
94,Babe (1995)
95,Babe: Pig in the City (1998)
96,Babel (2006)
97,Back to the Future (1985)
98,Back to the Future Part II (1989)
99,Back to the Future Part III (1990)
100,Backdraft (1991)
101,Bad Boys (1995)
102,Bad Santa (2003)
103,Bambi (1942)
104,Basic Instinct (1992)
105,Batman & Robin (1997)
106,Batman (1989)
107,Batman Begins (2005)
108,Batman Forever (1995)
109,Batman Returns (1992)
110,Battle Royale (Batoru rowaiaru) (2000)
111,"Beach, The (2000)"
112,"Beautiful Mind, A (2001)"
113,Beauty and the Beast (1991)
114,Beavis and Butt-Head Do America (1996)
115,Bedazzled (2000)
116,Bedknobs and Broomsticks (1971)
117,Beetlejuice (1988)
118,Before Sunrise (1995)
119,Being John Malkovich (1999)
120,Ben-Hur (1959)
121,Bend It Like Beckham (2002)
122,Best in Show (2000)
123,Better Off Dead... (1985)
124,Beverly Hills Cop (1984)
125,Beverly Hills Cop III (1994)
126,Big (1988)
127,"Big Chill, The (1983)"
128,Big Daddy (1999)
129,Big Fish (2003)
130,Big Hero 6 (2014)
131,"Big Lebowski, The (1998)"
132,"Big Short, The (2015)"
133,Big Trouble in Little China (1986)
134,Bill & Ted's Excellent Adventure (1989)
135,Billy Elliot (2000)
136,Billy Madison (1995)
137,Bio-Dome (1996)
138,"Birdcage, The (1996)"
139,Birdman: Or (The Unexpected Virtue of Ignorance) (2014)
140,"Birds, The (1963)"
141,Black Hawk Down (2001)
142,Black Swan (2010)
143,Blade (1998)
144,Blade II (2002)
145,Blade Runner (1982)
146,"Blair Witch Project, The (1999)"
147,Blast from the Past (1999)
148,Blazing Saddles (1974)
149,"Blind Side, The  (2009)"
150,Blood Diamond (2006)
151,Blow (2001)
152,Blue Velvet (1986)
153,"Blues Brothers, The (1980)"
154,"Bodyguard, The (1992)"
155,Boiler Room (2000)
156,"Bone Collector, The (1999)"
157,Bonnie and Clyde (1967)
158,Boogie Nights (1997)
159,"Boondock Saints, The (2000)"
160,"Boot, Das (Boat, The) (1981)"
161,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
162,Bottle Rocket (1996)
163,Bound (1996)
164,"Bourne Identity, The (2002)"
165,"Bourne Supremacy, The (2004)"
166,"Bourne Ultimatum, The (2007)"
167,Bowfinger (1999)
168,Bowling for Columbine (2002)
169,Boys Don't Cry (1999)
170,"Brady Bunch Movie, The (1995)"
171,Brave (2012)
172,Braveheart (1995)
173,Brazil (1985)
174,"Breakfast Club, The (1985)"
175,Breakfast at Tiffany's (1961)
176,Bridesmaids (2011)
177,"Bridge on the River Kwai, The (1957)"
178,"Bridges of Madison County, The (1995)"
179,Bridget Jones's Diary (2001)
180,Bring It On (2000)
181,Broadcast News (1987)
182,Brokeback Mountain (2005)
183,Broken Arrow (1996)
184,Broken Flowers (2005)
185,Bruce Almighty (2003)
186,Buffy the Vampire Slayer (1992)
187,"Bug's Life, A (1998)"
188,Bull Durham (1988)
189,Bullets Over Broadway (1994)
190,Bulworth (1998)
191,Burn After Reading (2008)
192,Butch Cassidy and the Sundance Kid (1969)
193,"Cabin in the Woods, The (2012)"
194,"Cable Guy, The (1996)"
195,Caddyshack (1980)
196,Cape Fear (1991)
197,Capote (2005)
198,Captain America: Civil War (2016)
199,Captain America: The First Avenger (2011)
200,Captain America: The Winter Soldier (2014)
201,Captain Phillips (2013)
202,Carlito's Way (1993)
203,Carrie (1976)
204,Cars (2006)
205,Casablanca (1942)
206,Casino (1995)
207,Casino Royale (2006)
208,Casper (1995)
209,Cast Away (2000)
210,Catch Me If You Can (2002)
211,"Cell, The (2000)"
212,Charlie and the Chocolate Factory (2005)
213,Charlie's Angels (2000)
214,Charlie's Angels: Full Throttle (2003)
215,Charlotte's Web (1973)
216,Chasing Amy (1997)
217,Chicago (2002)
218,Chicken Run (2000)
219,Children of Men (2006)
220,Chinatown (1974)
221,Chocolat (2000)
222,"Christmas Story, A (1983)"
223,Christmas Vacation (National Lampoon's Christmas Vacation) (1989)
224,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)"
225,"Chronicles of Riddick, The (2004)"
226,"Cider House Rules, The (1999)"
227,Cinderella (1950)
228,Cinema Paradiso (Nuovo cinema Paradiso) (1989)
229,Citizen Kane (1941)
230,City Slickers (1991)
231,City Slickers II: The Legend of Curly's Gold (1994)
232,City of God (Cidade de Deus) (2002)
233,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
234,Clear and Present Danger (1994)
235,Clerks (1994)
236,Click (2006)
237,"Client, The (1994)"
238,Cliffhanger (1993)
239,"Clockwork Orange, A (1971)"
240,Close Encounters of the Third Kind (1977)
241,Cloverfield (2008)
242,Clueless (1995)
243,Cocoon (1985)
244,Collateral (2004)
245,Coming to America (1988)
246,Con Air (1997)
247,Conan the Barbarian (1982)
248,Coneheads (1993)
249,Congo (1995)
250,Conspiracy Theory (1997)
251,Constantine (2005)
252,Contact (1997)
253,Cool Hand Luke (1967)
254,Cool Runnings (1993)
255,Copycat (1995)
256,Coraline (2009)
257,Corpse Bride (2005)
258,Courage Under Fire (1996)
259,Coyote Ugly (2000)
260,"Craft, The (1996)"
261,Crash (2004)
262,"Crazy, Stupid, Love. (2011)"
263,Crimson Tide (1995)
264,Crocodile Dundee (1986)
265,Crocodile Dundee II (1988)
266,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
267,"Crow, The (1994)"
268,Cruel Intentions (1999)
269,"Crying Game, The (1992)"
270,Cube (1997)
271,"Curious Case of Benjamin Button, The (2008)"
272,"Da Vinci Code, The (2006)"
273,Dances with Wolves (1990)
274,Dangerous Liaisons (1988)
275,Dangerous Minds (1995)
276,Dante's Peak (1997)
277,Daredevil (2003)
278,"Darjeeling Limited, The (2007)"
279,Dark City (1998)
280,"Dark Crystal, The (1982)"
281,"Dark Knight Rises, The (2012)"
282,"Dark Knight, The (2008)"
283,Dave (1993)
284,"Day After Tomorrow, The (2004)"
285,"Day the Earth Stood Still, The (1951)"
286,Dazed and Confused (1993)
287,Dead Man Walking (1995)
288,Dead Poets Society (1989)
289,Deadpool (2016)
290,Death Proof (2007)
291,Deep Blue Sea (1999)
292,Deep Impact (1998)
293,"Deer Hunter, The (1978)"
294,Delicatessen (1991)
295,Deliverance (1972)
296,Demolition Man (1993)
297,"Departed, The (2006)"
298,Desperado (1995)
299,Desperately Seeking Susan (1985)
300,Despicable Me (2010)
301,"Devil Wears Prada, The (2006)"
302,Dial M for Murder (1954)
303,Diamonds Are Forever (1971)
304,Dick Tracy (1990)
305,Die Another Day (2002)
306,Die Hard (1988)
307,Die Hard 2 (1990)
308,Die Hard: With a Vengeance (1995)
309,Dirty Dancing (1987)
310,"Dirty Dozen, The (1967)"
311,Disclosure (1994)
312,District 9 (2009)
313,Django Unchained (2012)
314,Do the Right Thing (1989)
315,Doctor Strange (2016)
316,Doctor Zhivago (1965)
317,Dodgeball: A True Underdog Story (2004)
318,Dog Day Afternoon (1975)
319,Dogma (1999)
320,Dolores Claiborne (1995)
321,Don Juan DeMarco (1995)
322,Donnie Brasco (1997)
323,Donnie Darko (2001)
324,"Doors, The (1991)"
325,Down Periscope (1996)
326,Dr. Dolittle (1998)
327,Dr. Horrible's Sing-Along Blog (2008)
328,Dr. No (1962)
329,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
330,Dracula (Bram Stoker's Dracula) (1992)
331,Dragonheart (1996)
332,Drive (2011)
333,Driving Miss Daisy (1989)
334,Drop Zone (1994)
335,Duck Soup (1933)
336,"Dude, Where's My Car? (2000)"
337,Dumb & Dumber (Dumb and Dumber) (1994)
338,Dumbo (1941)
339,Dune (1984)
340,E.T. the Extra-Terrestrial (1982)
341,Easy A (2010)
342,Easy Rider (1969)
343,Ed Wood (1994)
344,Edge of Tomorrow (2014)
345,Edward Scissorhands (1990)
346,Election (1999)
347,Elf (2003)
348,Elizabeth (1998)
349,Emma (1996)
350,"Emperor's New Groove, The (2000)"
351,Enemy at the Gates (2001)
352,Enemy of the State (1998)
353,"English Patient, The (1996)"
354,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
355,Entrapment (1999)
356,Equilibrium (2002)
357,Eraser (1996)
358,Erin Brockovich (2000)
359,Escape from L.A. (1996)
360,Escape from New York (1981)
361,Eternal Sunshine of the Spotless Mind (2004)
362,Event Horizon (1997)
363,Ever After: A Cinderella Story (1998)
364,Evil Dead II (Dead by Dawn) (1987)
365,"Evil Dead, The (1981)"
366,Evolution (2001)
367,Ex Machina (2015)
368,Excalibur (1981)
369,Executive Decision (1996)
370,"Exorcist, The (1973)"
371,Eyes Wide Shut (1999)
372,Face/Off (1997)
373,"Faculty, The (1998)"
374,Fahrenheit 9/11 (2004)
375,"Family Man, The (2000)"
376,Fantasia (1940)
377,Fantastic Four (2005)
378,Fargo (1996)
379,Fast Times at Ridgemont High (1982)
380,"Fast and the Furious, The (2001)"
381,Fatal Attraction (1987)
382,Father of the Bride Part II (1995)
383,Fear and Loathing in Las Vegas (1998)
384,"Femme Nikita, La (Nikita) (1990)"
385,Ferris Bueller's Day Off (1986)
386,"Few Good Men, A (1992)"
387,Field of Dreams (1989)
388,"Fifth Element, The (1997)"
389,Fight Club (1999)
390,"Fighter, The (2010)"
391,Final Destination (2000)
392,Final Fantasy: The Spirits Within (2001)
393,Finding Forrester (2000)
394,Finding Nemo (2003)
395,Finding Neverland (2004)
396,"Firm, The (1993)"
397,First Blood (Rambo: First Blood) (1982)
398,First Knight (1995)
399,"First Wives Club, The (1996)"
400,"Fish Called Wanda, A (1988)"
401,"Fisher King, The (1991)"
402,"Fistful of Dollars, A (Per un pugno di dollari) (1964)"
403,Fletch (1985)
404,Flight of the Navigator (1986)
405,"Flintstones, The (1994)"
406,"Fly, The (1986)"
407,For Your Eyes Only (1981)
408,For a Few Dollars More (Per qualche dollaro in più) (1965)
409,Forever Young (1992)
410,Forget Paris (1995)
411,Forgetting Sarah Marshall (2008)
412,Forrest Gump (1994)
413,Four Weddings and a Funeral (1994)
414,Freaky Friday (2003)
415,Free Willy (1993)
416,"French Connection, The (1971)"
417,French Kiss (1995)
418,Frequency (2000)
419,Fried Green Tomatoes (1991)
420,"Frighteners, The (1996)"
421,From Dusk Till Dawn (1996)
422,From Russia with Love (1963)
423,Frozen (2013)
424,"Fugitive, The (1993)"
425,Full Metal Jacket (1987)
426,"Full Monty, The (1997)"
427,G.I. Jane (1997)
428,Galaxy Quest (1999)
429,"Game, The (1997)"
430,Gandhi (1982)
431,Gangs of New York (2002)
432,Garden State (2004)
433,Gattaca (1997)
434,Get Shorty (1995)
435,Ghost (1990)
436,Ghost World (2001)
437,"Ghost and the Darkness, The (1996)"
438,Ghost in the Shell (Kôkaku kidôtai) (1995)
439,Ghostbusters (a.k.a. Ghost Busters) (1984)
440,Ghostbusters II (1989)
441,"Girl with the Dragon Tattoo, The (2011)"
442,"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)"
443,"Girl, Interrupted (1999)"
444,Gladiator (2000)
445,Glory (1989)
446,Go (1999)
447,"Godfather, The (1972)"
448,"Godfather: Part II, The (1974)"
449,"Godfather: Part III, The (1990)"
450,"Gods Must Be Crazy, The (1980)"
451,Godzilla (1998)
452,GoldenEye (1995)
453,Goldfinger (1964)
454,Gone Girl (2014)
455,Gone in 60 Seconds (2000)
456,Gone with the Wind (1939)
457,"Good Morning, Vietnam (1987)"
458,Good Will Hunting (1997)
459,"Good bye, Lenin! (2003)"
460,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
461,Goodfellas (1990)
462,"Goonies, The (1985)"
463,Gosford Park (2001)
464,"Graduate, The (1967)"
465,Gran Torino (2008)
466,"Grand Budapest Hotel, The (2014)"
467,"Grand Day Out with Wallace and Gromit, A (1989)"
468,Gravity (2013)
469,Grease (1978)
470,"Great Escape, The (1963)"
471,"Green Mile, The (1999)"
472,Gremlins (1984)
473,"Grifters, The (1990)"
474,Grindhouse (2007)
475,Grosse Pointe Blank (1997)
476,Groundhog Day (1993)
477,Grumpier Old Men (1995)
478,Grumpy Old Men (1993)
479,Guardians of the Galaxy (2014)
480,Guardians of the Galaxy 2 (2017)
481,Hackers (1995)
482,Halloween (1978)
483,Hancock (2008)
484,"Hangover, The (2009)"
485,Hannibal (2001)
486,Happy Gilmore (1996)
487,Harold and Kumar Go to White Castle (2004)
488,Harold and Maude (1971)
489,Harry Potter and the Chamber of Secrets (2002)
490,Harry Potter and the Deathly Hallows: Part 1 (2010)
491,Harry Potter and the Deathly Hallows: Part 2 (2011)
492,Harry Potter and the Goblet of Fire (2005)
493,Harry Potter and the Half-Blood Prince (2009)
494,Harry Potter and the Order of the Phoenix (2007)
495,Harry Potter and the Prisoner of Azkaban (2004)
496,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)
497,Heat (1995)
498,Heathers (1989)
499,Heavenly Creatures (1994)
500,Heavy Metal (1981)
501,Hellboy (2004)
502,"Help, The (2011)"
503,Her (2013)
504,Hercules (1997)
505,Hero (Ying xiong) (2002)
506,High Fidelity (2000)
507,Highlander (1986)
508,"History of Violence, A (2005)"
509,Hitch (2005)
510,"Hitchhiker's Guide to the Galaxy, The (2005)"
511,"Hobbit: An Unexpected Journey, The (2012)"
512,"Hobbit: The Desolation of Smaug, The (2013)"
513,Hocus Pocus (1993)
514,"Holiday, The (2006)"
515,Hollow Man (2000)
516,Home Alone (1990)
517,Home Alone 2: Lost in New York (1992)
518,"Honey, I Shrunk the Kids (1989)"
519,Hook (1991)
520,Hoop Dreams (1994)
521,Hoosiers (a.k.a. Best Shot) (1986)
522,Horrible Bosses (2011)
523,Hot Fuzz (2007)
524,Hot Shots! Part Deux (1993)
525,Hotel Rwanda (2004)
526,House of Flying Daggers (Shi mian mai fu) (2004)
527,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000)
528,How to Lose a Guy in 10 Days (2003)
529,How to Train Your Dragon (2010)
530,Howl's Moving Castle (Hauru no ugoku shiro) (2004)
531,"Hudsucker Proxy, The (1994)"
532,Hulk (2003)
533,"Hunchback of Notre Dame, The (1996)"
534,"Hunt for Red October, The (1990)"
535,"Hurt Locker, The (2008)"
536,I Am Legend (2007)
537,I Heart Huckabees (2004)
538,I Know What You Did Last Summer (1997)
539,"I, Robot (2004)"
540,I.Q. (1994)
541,Ice Age (2002)
542,Ice Age 2: The Meltdown (2006)
543,Identity (2003)
544,"Illusionist, The (2006)"
545,In & Out (1997)
546,In Bruges (2008)
547,In the Line of Fire (1993)
548,In the Name of the Father (1993)
549,Inception (2010)
550,"Incredible Hulk, The (2008)"
551,"Incredibles, The (2004)"
552,Independence Day (a.k.a. ID4) (1996)
553,"Indian in the Cupboard, The (1995)"
554,Indiana Jones and the Kingdom of the Crystal Skull (2008)
555,Indiana Jones and the Last Crusade (1989)
556,Indiana Jones and the Temple of Doom (1984)
557,Inglourious Basterds (2009)
558,Inside Man (2006)
559,Inside Out (2015)
560,"Insider, The (1999)"
561,Insomnia (2002)
562,Inspector Gadget (1999)
563,Interstellar (2014)
564,Interview with the Vampire: The Vampire Chronicles (1994)
565,Into the Wild (2007)
566,Intouchables (2011)
567,"Iron Giant, The (1999)"
568,Iron Man (2008)
569,Iron Man 2 (2010)
570,Iron Man 3 (2013)
571,"Island of Dr. Moreau, The (1996)"
572,"Island, The (2005)"
573,It's a Wonderful Life (1946)
574,"Italian Job, The (2003)"
575,JFK (1991)
576,Jackie Brown (1997)
577,Jacob's Ladder (1990)
578,James and the Giant Peach (1996)
579,Jaws (1975)
580,Jay and Silent Bob Strike Back (2001)
581,"Jerk, The (1979)"
582,Jerry Maguire (1996)
583,"Jewel of the Nile, The (1985)"
584,Joe Dirt (2001)
585,John Wick (2014)
586,Johnny Mnemonic (1995)
587,Judge Dredd (1995)
588,Jumanji (1995)
589,"Jungle Book, The (1967)"
590,"Jungle Book, The (1994)"
591,Junior (1994)
592,Juno (2007)
593,Jurassic Park (1993)
594,Jurassic Park III (2001)
595,Jurassic World (2015)
596,K-PAX (2001)
597,"Karate Kid, Part II, The (1986)"
598,"Karate Kid, The (1984)"
599,Keeping the Faith (2000)
600,Kick-Ass (2010)
601,Kill Bill: Vol. 1 (2003)
602,Kill Bill: Vol. 2 (2004)
603,"Killing Fields, The (1984)"
604,King Kong (1933)
605,King Kong (2005)
606,"King's Speech, The (2010)"
607,Kingpin (1996)
608,Kingsman: The Secret Service (2015)
609,Kiss Kiss Bang Bang (2005)
610,"Knight's Tale, A (2001)"
611,Knocked Up (2007)
612,Kung Fu Panda (2008)
613,L.A. Confidential (1997)
614,L.A. Story (1991)
615,Labyrinth (1986)
616,Lady and the Tramp (1955)
617,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986)
618,Lara Croft: Tomb Raider (2001)
619,Last Action Hero (1993)
620,"Last Emperor, The (1987)"
621,"Last Samurai, The (2003)"
622,"Last of the Mohicans, The (1992)"
623,"Lawnmower Man, The (1992)"
624,Lawrence of Arabia (1962)
